index,hot,title,href
1,12.9万,什么是DSPM？数据安全状况管理的全面概述,https://www.freebuf.com/news/378560.html
2,1.9万,如何使用SleuthQL通过解析Burp历史来寻找潜在的SQL注入点,https://www.freebuf.com/sectool/379514.html
3,3.7万,分别从用户层和内核层绕过webshell访问日志,https://www.freebuf.com/articles/web/379706.html
4,2.2万,NBA 前球星托尼-帕克旗下球队 ASVEL 遭网络攻击，球员数据被盗,https://www.freebuf.com/news/380658.html
5,2.1万,欧盟委员会要求社交平台迅速处理涉巴以冲突的虚假信息,https://www.freebuf.com/news/380640.html
6,1.9万,从小白到大神 | 详解MySQL UDF提权,https://www.freebuf.com/articles/network/379777.html
7,2.1万,工业和信息化部等六部门印发《算力基础设施高质量发展行动计划》,https://www.freebuf.com/news/380641.html
8,2.1万,奖金最高15000美元！微软宣布Bing AI漏洞赏金计划,https://www.freebuf.com/news/380600.html
9,2.1万,恶意 NuGet 软件包利用 SeroXen RAT ，针对 .NET 开发人员,https://www.freebuf.com/news/380623.html
10,5.8万,数据安全生命周期学习——处理安全,https://www.freebuf.com/articles/database/380068.html
11,1.9万,卡巴斯基：2023年物联网（IoT）威胁概述,https://www.freebuf.com/articles/paper/379764.html
12,3.1万,数据泄露境外擅自删库了事？盘点典型数据安全处罚案例,https://www.freebuf.com/articles/neopoints/378187.html
13,3.6万,FreeBuf 早报 | 马来西亚考虑对TikTok电商出台禁令；美国大型建材生产商遭网络攻击,https://www.freebuf.com/news/380505.html
14,3.2万,BunnyLoader：全新恶意软件即服务（MaaS）,https://www.freebuf.com/articles/network/379909.html
15,13.7万,记一次众测的两个洞,https://www.freebuf.com/vuls/379351.html
16,5.4万,数据泄漏被传输境外后擅自删库！某科技公司被上海市网信办依法处罚,https://www.freebuf.com/news/380477.html
17,3.3万,FCIS 2023 大会极客票限时免费领取！,https://www.freebuf.com/fevents/380102.html
18,4.3万,Wifite2：一款功能强大的无线网络安全审计与渗透测试工具,https://www.freebuf.com/sectool/379830.html
19,6.1万,巴以冲突中暴露的摄像头正对安全构成威胁,https://www.freebuf.com/news/380403.html
20,4.9万,五个被积极利用的漏洞，允许黑客窃取密码，发起DoS攻击,https://www.freebuf.com/news/380407.html
