index,hot,title,href
1,3939,最新报告：71%的AI检测器无法检测出ChatGPT撰写的钓鱼邮件,https://www.freebuf.com/articles/paper/380801.html
2,1.6万,Dejavu：一款功能强大的开源诱饵部署与安全检测平台,https://www.freebuf.com/sectool/379409.html
3,19.5万,攻防演练 | HW实战中钓鱼全流程梳理,https://www.freebuf.com/defense/374161.html
4,1.2万,GDA CTF应用方向：牛刀小试ONE,https://www.freebuf.com/news/380295.html
5,6.9万,某企业安全规划实战篇,https://www.freebuf.com/consult/379866.html
6,1.4万,探索PKI——什么是加密密钥？,https://www.freebuf.com/articles/neopoints/380595.html
7,2.5万,一周网安优质PDF资源推荐丨FreeBuf知识大陆,https://www.freebuf.com/news/381394.html
8,5.3万,保护敏感数据：数据安全指南,https://www.freebuf.com/articles/database/380657.html
9,2.2万,Idisagree：如何使用Discord Bot和Python 3实现设备的远程控制和管理,https://www.freebuf.com/sectool/379412.html
10,22.1万,攻防演练 | 如何使用 Docker 搭建代理池+隧道代理,https://www.freebuf.com/defense/374034.html
11,2.6万,复盘｜Balancer 漏洞分析,https://www.freebuf.com/vuls/380213.html
12,7.6万,企业安全之浅谈云原生下的安全风险,https://www.freebuf.com/articles/es/379883.html
13,2.4万,【BugBounty】记一次XSS绕过,https://www.freebuf.com/articles/web/380452.html
14,3.7万,FreeBuf 周报 | 思科零日漏洞正被积极利用；迪卡侬数据泄露,https://www.freebuf.com/news/381370.html
15,3.2万,Curl高危漏洞（CVE-2023-38545）分析报告及建议,https://www.freebuf.com/articles/network/380567.html
16,3.1万,AIGC 审计框架初探 | FCIS 2023 大会议题抢先看,https://www.freebuf.com/fevents/381136.html
17,3.7万,如何高效选择抗DDoS产品或服务；如何定义明确清晰的网络边界 | FB甲方群话题讨论,https://www.freebuf.com/articles/neopoints/381352.html
18,20.6万,超详细分享 | 你真的懂零信任么？,https://www.freebuf.com/articles/database/377593.html
19,4.2万,RouterSploit：一款功能强大的嵌入式设备渗透测试框架,https://www.freebuf.com/sectool/379419.html
20,4.1万,MATA 恶意软件利用EDR攻击东欧能源企业和国防工业,https://www.freebuf.com/news/381336.html
