index,hot,title,href
1,1.2万,OpenBMB / ChatDev,https://github.com/OpenBMB/ChatDev
2,5471,Pythagora-io / gpt-pilot,https://github.com/Pythagora-io/gpt-pilot
3,2.4万,ToolJet / ToolJet,https://github.com/ToolJet/ToolJet
4,662,bitmagnet-io / bitmagnet,https://github.com/bitmagnet-io/bitmagnet
5,4283,kestra-io / kestra,https://github.com/kestra-io/kestra
6,9051,arc53 / DocsGPT,https://github.com/arc53/DocsGPT
7,204,docker / genai-stack,https://github.com/docker/genai-stack
8,795,jbellis / jvector,https://github.com/jbellis/jvector
9,1.2万,openai / openai-python,https://github.com/openai/openai-python
10,621,ferrocene / ferrocene,https://github.com/ferrocene/ferrocene
11,11.7万,practical-tutorials / project-based-learning,https://github.com/practical-tutorials/project-based-learning
12,1.8万,jaegertracing / jaeger,https://github.com/jaegertracing/jaeger
13,8838,jmorganca / ollama,https://github.com/jmorganca/ollama
14,17.8万,tensorflow / tensorflow,https://github.com/tensorflow/tensorflow
15,3.2万,curl / curl,https://github.com/curl/curl
16,3242,rerun-io / rerun,https://github.com/rerun-io/rerun
17,1.1万,microsoft / onnxruntime,https://github.com/microsoft/onnxruntime
18,1.1万,InterviewReady / system-design-resources,https://github.com/InterviewReady/system-design-resources
19,8921,gethomepage / homepage,https://github.com/gethomepage/homepage
20,5.5万,apache / superset,https://github.com/apache/superset
21,5.8万,supabase / supabase,https://github.com/supabase/supabase
22,1.4万,jasontaylordev / CleanArchitecture,https://github.com/jasontaylordev/CleanArchitecture
23,1.6万,chatchat-space / Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat
24,245,leesh3288 / CVE-2023-4911,https://github.com/leesh3288/CVE-2023-4911
25,2626,microsoft / promptflow,https://github.com/microsoft/promptflow
