index,hot,title,href
1,3038,microsoft / inshellisense,https://github.com/microsoft/inshellisense
2,913,langchain-ai / opengpts,https://github.com/langchain-ai/opengpts
3,1.9万,microsoft / AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners
4,4.8万,Yidadaa / ChatGPT-Next-Web,https://github.com/Yidadaa/ChatGPT-Next-Web
5,2173,deepseek-ai / DeepSeek-Coder,https://github.com/deepseek-ai/DeepSeek-Coder
6,4.8万,openai / whisper,https://github.com/openai/whisper
7,291,VinAIResearch / PhoGPT,https://github.com/VinAIResearch/PhoGPT
8,3621,Deci-AI / super-gradients,https://github.com/Deci-AI/super-gradients
9,8305,SimplifyJobs / New-Grad-Positions,https://github.com/SimplifyJobs/New-Grad-Positions
10,22.5万,codecrafters-io / build-your-own-x,https://github.com/codecrafters-io/build-your-own-x
11,9.2万,angular / angular,https://github.com/angular/angular
12,3443,idurar / idurar-erp-crm,https://github.com/idurar/idurar-erp-crm
13,541,daveshap / ChatGPT_Custom_Instructions,https://github.com/daveshap/ChatGPT_Custom_Instructions
14,6516,ko-build / ko,https://github.com/ko-build/ko
15,1504,openai / consistencydecoder,https://github.com/openai/consistencydecoder
16,3848,TheoKanning / openai-java,https://github.com/TheoKanning/openai-java
17,8574,primefaces / primeng,https://github.com/primefaces/primeng
18,1719,jxnl / instructor,https://github.com/jxnl/instructor
19,2.6万,SimplifyJobs / Summer2024-Internships,https://github.com/SimplifyJobs/Summer2024-Internships
20,7.6万,ripienaar / free-for-dev,https://github.com/ripienaar/free-for-dev
21,898,Niek / chatgpt-web,https://github.com/Niek/chatgpt-web
22,6845,sashabaranov / go-openai,https://github.com/sashabaranov/go-openai
23,8828,dagster-io / dagster,https://github.com/dagster-io/dagster
24,4370,deepmap / oapi-codegen,https://github.com/deepmap/oapi-codegen
25,4.8万,xtekky / gpt4free,https://github.com/xtekky/gpt4free
