index,hot,title,href
1,july,#woshiPM训练营#广州站-麦哲伦队,https://www.woshipm.com/?p=109119
2,张佳的流量常识,私域业务的这4个环节，可以直接上AI了,https://www.woshipm.com/?p=5908001
3,一只鸡腿,什么是“货架思维”？,https://www.woshipm.com/?p=5914868
4,灯衍,老板让我写个营销方案，对标疯狂星期四,https://www.woshipm.com/?p=5914886
5,一直在迭代的PM,生活中哪些体验很好，但容易被忽略的小设计,https://www.woshipm.com/?p=5915761
6,ToB老人家,ChatGPT时代：所有SaaS都值得重做一遍,https://www.woshipm.com/?p=5915249
7,菜根老谭,产品经理该不该设计数据库表？,https://www.woshipm.com/?p=5915620
8,又见智能商业,从一碗米线，聊聊产品爆火的逻辑,https://www.woshipm.com/?p=5914756
9,汪浩,数据分析，如何评估活动的好坏？,https://www.woshipm.com/?p=5914875
10,没汤圆啦,以BOSS直聘为例，探讨招聘平台为什么这么难用？,https://www.woshipm.com/?p=5915256
11,小朋友,躲猫猫：共享定位下的多人运动新游戏,https://www.woshipm.com/?p=5912842
12,不能再斗蟋蟀了,霸占TA的屏幕——「贴贴」用户分析报告,https://www.woshipm.com/?p=5914686
13,定焦One,打工人的八天假，比上班还累,https://www.woshipm.com/?p=5915691
14,郑火火,产品营销启示录：不同视角下的《杭州亚运会》,https://www.woshipm.com/?p=5915881
15,tomato,价格管理（一）：产品定价背后的决策机制,https://www.woshipm.com/?p=5915318
16,刘旷,大模型应用疯狂加速，洗牌却在静悄悄进行了,https://www.woshipm.com/?p=5915420
17,老付说运营,4天41万浏览，一篇非典型小红书笔记的拆解,https://www.woshipm.com/?p=5913844
18,差评,时隔13年，美团又成了所有大厂的“瓜分对象”,https://www.woshipm.com/?p=5915570
19,忻芸,如何进行数据埋点设计？,https://www.woshipm.com/?p=5914279
20,寻空,遥遥领先，一个华为热梗的非典型走红,https://www.woshipm.com/?p=5912442
21,刀法研究所,品牌这么做，才算真正用对小红书,https://www.woshipm.com/?p=5915042
22,执坚果,科技公司的业务定位、商业模型和产品设计,https://www.woshipm.com/?p=5914923
23,L.Hwang,IAM是什么以及要怎么设计？,https://www.woshipm.com/?p=5914930
24,壹DU财经,拼多多，你为什么学不会？,https://www.woshipm.com/?p=5915392
25,零态LT,2023，社交进入大变革时代,https://www.woshipm.com/?p=5915962
26,小i产品库,PRD文档的艺术与策略：深入每个产品开发阶段的核心,https://www.woshipm.com/?p=5914802
27,霞光社,包车出海，一门难做的生意,https://www.woshipm.com/?p=5915275
28,言成,赢得用户心智的战役：产品命脉与时间占据的艺术,https://www.woshipm.com/?p=5914829
29,新智元,MIT惊人证明：大语言模型就是「世界模型」,https://www.woshipm.com/?p=5914999
30,又见智能商业,龙门石窟与洛邑古城中的产品表达,https://www.woshipm.com/?p=5914903
31,硅星人,拼多多真香的年轻人，正在悄悄流入抖音直播间,https://www.woshipm.com/?p=5915903
32,窄播,从「搭子」理解小红书的社交逻辑,https://www.woshipm.com/?p=5914732
33,人人都是产品经理,ChatGPT的创业机会,https://www.woshipm.com/?p=5913310
34,言成,图像、声音与对话：ChatGPT多模态更新揭示商业未来的无限可能,https://www.woshipm.com/?p=5914828
35,十里村,吃瓜群如何一个月赚5万？,https://www.woshipm.com/?p=5915726
36,定焦One,“换房旅游”，没火起来,https://www.woshipm.com/?p=5914855
37,言成,保持领先：AI产品经理的竞争对手分析框架,https://www.woshipm.com/?p=5914544
38,老虎讲运营,拼多多如何开出高投产,https://www.woshipm.com/?p=5914801
39,jenson,充电站点运营解决方案（1）,https://www.woshipm.com/?p=5915391
40,显微故事,国庆长假返乡，我发现了独居老人直播间的“秘密”,https://www.woshipm.com/?p=5915661
41,未来消费,最懂旅游的年轻人，迷上了逛菜市场,https://www.woshipm.com/?p=5914778
42,Morketing,不会联名，挤不进消费市场的“大山”,https://www.woshipm.com/?p=5915095
43,白鲸出海,下载一万次、营收千万元的生意？,https://www.woshipm.com/?p=5915838
44,东南西北,面试通产品需求文档,https://www.woshipm.com/?p=5124922
45,亿邦动力,天猫亿级大卖家，跑去印尼开工厂，去了才发现……丨东南亚出海洞察,https://www.woshipm.com/?p=5914604
46,接地气的陈老师,十大数据分析模型之一：矩阵模型,https://www.woshipm.com/?p=5915940
47,差评,十块钱买三个面包，新的薅羊毛方式让我找着了,https://www.woshipm.com/?p=5914575
48,商隐社,小红书能打破高逼格社区的商业化魔咒吗？,https://www.woshipm.com/?p=5914985
49,光波,MarTech​-CDP实战手册：CDP交付阶段-行为事件规划（十一）,https://www.woshipm.com/?p=5914912
50,光子星球,To C大模型，亏钱也得干,https://www.woshipm.com/?p=5915527
51,老秦Talk,实时物理模拟技术在XR体验中的重要性与应用,https://www.woshipm.com/?p=5915683
52,四两哥,企业内容营销该怎么做？,https://www.woshipm.com/?p=5915335
53,MsQ星球,如何“零成本”创业？传统思维 vs 创业思维,https://www.woshipm.com/?p=5915246
54,品玩,24小时直播干饭，流浪猫版的楚门世界,https://www.woshipm.com/?p=5914534
55,霞光社,北美爆火的“狼人”短剧，来自中国APP,https://www.woshipm.com/?p=5914803
56,TCC翻译情报局,案例研究｜为无虐待主义消费者设计APP（上）,https://www.woshipm.com/?p=5915913
57,三爷茶馆,中台产品经理宝典连载02：如何判断什么企业需要中台？,https://www.woshipm.com/?p=5558555
58,表外表里,Costco成功学陷阱：低价只是幻影,https://www.woshipm.com/?p=5913094
59,Ruby的产品工坊,“好产品”的三大评判维度揭秘,https://www.woshipm.com/?p=5915126
60,老陈的深度思考,传统生意以及门店如何做引流，让你的业绩翻倍,https://www.woshipm.com/?p=5916034
61,奇偶派,抖音的「本地进击」序曲,https://www.woshipm.com/?p=5915299
62,在线支付,支付通道的定义,https://www.woshipm.com/?p=5915758
63,定焦One,这届年轻人办婚礼，不花一分冤枉钱,https://www.woshipm.com/?p=5913777
64,知之为之之,聚焦新模式：互联网平台付费会员商业化探索,https://www.woshipm.com/?p=5914701
65,壹娱观察,关于买手电商这件事，小红书还要学会抖快哪些建设路径？,https://www.woshipm.com/?p=5915526
66,光波,MarTech​-CDP实战手册：CDP交付阶段-标签规划（十）,https://www.woshipm.com/?p=5914133
67,时代财经,“国庆住我家”成风潮，次卧日租100元,https://www.woshipm.com/?p=5914419
68,柠檬饼干净又卫生,风控系统的建设，具体怎么做？,https://www.woshipm.com/?p=5914202
69,科技新知,大厂搜索之困：超越AI的难题,https://www.woshipm.com/?p=5913661
70,Ruby的产品工坊,压箱底技巧！产品经理做竞品分析的正确姿势！,https://www.woshipm.com/?p=5913604
71,王智远,从作品到产品的过程,https://www.woshipm.com/?p=5914500
72,刀法研究所,国货“团建式商战”复盘：赢了吗？然后呢？,https://www.woshipm.com/?p=5914624
73,MsQ星球,颠覆传统行业的15种创新商业模式,https://www.woshipm.com/?p=5914708
74,传媒1号,抖快争夺「非遗」,https://www.woshipm.com/?p=5914642
75,硬核老麻花,小红书酒鬼活动运营拆解，如何利用线上内容短期提升线下门店营收？,https://www.woshipm.com/?p=5914154
76,汪浩,出行避坑！街边小摊竟有大厂营销套路？！,https://www.woshipm.com/?p=5913859
77,Vinky,蜜雪冰城，做的是一门B端的生意,https://www.woshipm.com/?p=5913299
78,大仓鼠,PRD需求文档 | 实例撰写指南,https://www.woshipm.com/?p=5911833
79,老陈的深度思考,AI带来的赚钱机会，以及利用AI工具提升数倍工作效率,https://www.woshipm.com/?p=5916033
80,(*≧▽≦),如何有效地设计信息？,https://www.woshipm.com/?p=5910949
81,OK,如何从0-1搭建清算系统、提升清结算准确性,https://www.woshipm.com/?p=5913955
82,新熵,为视频号造铲子，微信瞄准“剪映”还是“妙鸭”？,https://www.woshipm.com/?p=5914404
83,新零售商业评论,景区OUT了，假期都流行去高速上耍,https://www.woshipm.com/?p=5914408
84,剁椒TMT,大厂AIGC三大追问：拉升活跃度？制造垃圾？颠覆格局？,https://www.woshipm.com/?p=5914175
85,七叔创业圈子,要是我在搞流量运营时，看到这篇亿级流量操盘手的分享，该有多好啊！,https://www.woshipm.com/?p=5912846
