index,hot,title,href
1,小布Bruce,大模型的下一站：AI Agent！,https://www.woshipm.com/?p=6071395
2,一直在迭代,学会这十种提词模型，就可以“使唤”AI了,https://www.woshipm.com/?p=6070815
3,运营老杨,你屏蔽了多少个垃圾社群？社群不是这样运营的！,https://www.woshipm.com/?p=6071204
4,新熵,史上最难618的最优解是什么,https://www.woshipm.com/?p=6071289
5,降噪NoNoise,618众生相：有人抱怨无限卷，有人连夜抓住新机会,https://www.woshipm.com/?p=6071414
6,品牌猿,玩会员，如何制定能盈利且可持续的「价格体系」？,https://www.woshipm.com/?p=6071163
7,IT老友记,直播带货生态之变：超级主播与平台、商家的新博弈,https://www.woshipm.com/?p=6071222
8,邢小作,KISS原则：SaaS产品设计最重要的原则（上）,https://www.woshipm.com/?p=6070864
9,张佳的AI实战笔记,别捣鼓AI提示词了，干点更有价值的事,https://www.woshipm.com/?p=6071497
10,敏捷增长研究室,万字长文 | B2B高客单销售的朋友圈内容营销SOP（含3个模版工具）,https://www.woshipm.com/?p=6070821
11,老泡,雷军神级营销，把保时捷价格直接打到了40万！,https://www.woshipm.com/?p=6070774
12,Vic的营销思考,小红书关键词如何精细化布局,https://www.woshipm.com/?p=6071724
13,且行舟,这样做小红书，普通博主也能做出爆款,https://www.woshipm.com/?p=6070642
14,产品真经,那个ERP项目，让人后怕！,https://www.woshipm.com/?p=6070922
15,Coco,支付营销——银行高效营销利器,https://www.woshipm.com/?p=6071156
16,财源滚滚,一篇文章教会你如何全面梳理业务流程（上）,https://www.woshipm.com/?p=6070328
17,晓峰的运营增长,KOS矩阵崛起！7000字详解从公域到私域怎么打,https://www.woshipm.com/?p=6070943
18,有趣的产品经理,案例分析：如何确认产品经理候选人能否胜任？,https://www.woshipm.com/?p=6070647
19,李子木说运营,自媒体人必备：文心一言、Kimi等4款AI大模型测评对比及推荐,https://www.woshipm.com/?p=6040171
20,DT设计思考,（2.5W字长文）AI狂奔，体验助推——人工智能对用户体验设计的影响分析,https://www.woshipm.com/?p=6069147
21,刀客,一文读懂高歌猛进的美国CTV联网电视,https://www.woshipm.com/?p=6071557
22,John,中国软件行业几乎全军覆没,https://www.woshipm.com/?p=6067808
23,58UXD,生成式AI助手设计指南（上篇）,https://www.woshipm.com/?p=6071699
24,产品大峡谷,三个高端技巧，事关产品汇报,https://www.woshipm.com/?p=6070697
25,Echo 产品论,2万字大模型调研：横向对比文心一言、百川、Minimax、通义千问、讯飞星火、ChatGPT,https://www.woshipm.com/?p=5994261
26,学习做创业的契丹王,品选对了，私域营销就做对了！——私域营销选品策略初探,https://www.woshipm.com/?p=6069600
27,誓博,一文讲透SPU和SKU,https://www.woshipm.com/?p=5850460
28,武林,产品培训的“四大秘籍”：讲问题、讲案例、讲差异、讲卖点,https://www.woshipm.com/?p=6070324
29,橙子小叮当,面试优缺点：要怎么回复？10种回答范例与3大原则，精准掌握HR偏好,https://www.woshipm.com/?p=5929346
30,新偶,视频号向左，京东向右，数字人直播+AI客服让人很恼火,https://www.woshipm.com/?p=6070792
31,小布Bruce,万字经验 | 使用大模型（LLMs）构建产品一年后，我们有些经验想告诉你,https://www.woshipm.com/?p=6070091
32,汤师爷,图解：中央库存系统架构设计,https://www.woshipm.com/?p=6068470
33,刚哥,图解微信支付的弯弯绕,https://www.woshipm.com/?p=6070851
34,刀哥,产品经理到底如何做需求分析？看看这篇万字深度解析！,https://www.woshipm.com/?p=5910201
35,姝斐suphie,B端弹窗设计11大法则,https://www.woshipm.com/?p=6068003
36,龙国富,客户体验：拼多多“仅退款”，玩的是博弈论高端局！,https://www.woshipm.com/?p=6068733
37,寻空,7000字复盘：时尚帝国lululemon的崛起与危机,https://www.woshipm.com/?p=6069114
38,空间秘探,苹果siri成为私人导游，“虚拟旅游”风口到来？,https://www.woshipm.com/?p=6071700
39,原始森林,一文读懂什么是SaaS,https://www.woshipm.com/?p=5188482
40,运营派,营销日历 | 七月的八大营销节点，你一定不能错过！,https://www.woshipm.com/?p=5493651
41,游牧志,6个维度，横向对比中国互联网8大新媒体平台,https://www.woshipm.com/?p=5972823
42,SaaS圈老马,2024年半导体企业CRM研究（附趋势、调研、方案）,https://www.woshipm.com/?p=6070891
43,新眸,拆解Perplexity：搜索领域的超级黑马，「谷歌杀手」是如何炼成的？,https://www.woshipm.com/?p=6071720
44,天天问,在淘宝需购物才能评论，而在大众点评却不用，这是为啥？,https://www.woshipm.com/?p=6069561
45,产品小球,今年最火的超链是什么？,https://www.woshipm.com/?p=6067453
46,惊蛰研究所,618前，「仅退款」的168天,https://www.woshipm.com/?p=6070022
47,13号小星球,模型评测怎么做？一篇文章看懂,https://www.woshipm.com/?p=6070431
48,南方碟道,24年一头扎进AI+在线教育行业的我，仿佛像偷拿了VIP入场券... | 入职3周感受分享~,https://www.woshipm.com/?p=6066889
49,南则北,2024年做好微信公众号运营13点建议，7000多字干货，赶紧收藏,https://www.woshipm.com/?p=6000476
50,互联网怪盗团,让我们聊聊少儿编程市场的未来,https://www.woshipm.com/?p=6070015
51,连线Insight,教育界的“百模大战”，玩家们究竟在拼什么？,https://www.woshipm.com/?p=6070808
52,markzou,企业架构11——SOP（标准作业程序）,https://www.woshipm.com/?p=5869641
53,闯爷,新媒体矩阵运营：新媒体环境下如何提升影响力？——一文带你读懂矩阵营销,https://www.woshipm.com/?p=6062563
54,Clippp,B端弹窗设计｜如何科学定义弹窗的尺寸规范？,https://www.woshipm.com/?p=6068739
55,产业家,AI大模型时代：中国SaaS行业的机会与挑战到底在哪？,https://www.woshipm.com/?p=6069684
56,挖塘人,小红书怎么运营？最新实操方法来了！,https://www.woshipm.com/?p=5859562
57,橙子小叮当,面试离职原因 : 为何离开前公司？该诚实回答吗[离职原因范例],https://www.woshipm.com/?p=5924948
58,字母榜,买不到用户的大模型，开始倒闭了,https://www.woshipm.com/?p=6070017
59,学习做创业的契丹王,在私域营销中，如何创新促销活动,https://www.woshipm.com/?p=6066284
60,李子木说运营,6000字长文，解析2024年小红书运营趋势,https://www.woshipm.com/?p=6017034
61,茶话B端,聊聊B端数据权限管理，特殊业务场景也能通用的设计,https://www.woshipm.com/?p=5779988
62,詹老师,2万字干货：如何从0到1搭建用户会员体系,https://www.woshipm.com/?p=6055651
63,王大鹿,超简单的复盘法，助你 10 倍速成长（附模板）,https://www.woshipm.com/?p=6069499
64,Tamil,这些能力让产品经理脱颖而出！,https://www.woshipm.com/?p=6058858
65,杜昭,拼多多结合AI开始整活了，商详页重大改变是赞是喷？,https://www.woshipm.com/?p=6057914
66,rorain,IAA还是IAP，到底哪种变现模式更适合我的应用？,https://www.woshipm.com/?p=6037687
67,人人都是产品经理,B端产品经理圈：一个人走的快，一群人走得远,https://www.woshipm.com/?p=6005687
68,接地气的陈老师,这是我见过最好的用户行为分析攻略,https://www.woshipm.com/?p=5924955
69,晏涛三寿,小红书、视频号、抖音流量算法机制，建议收藏！,https://www.woshipm.com/?p=5865982
70,增长黑盒,我们花一个月时间研究了视频号：用数据打破你的四个偏见,https://www.woshipm.com/?p=5890404
71,大仁哥,日更10个公众号经验总结，一文全面解读公众号流量推荐机制！,https://www.woshipm.com/?p=5932632
72,张在旺,如何写一份靠谱的竞品分析报告？,https://www.woshipm.com/?p=5672064
73,刘旷,顺丰、菜鸟“较劲”末端物流,https://www.woshipm.com/?p=5612547
74,黄锐,旅游产业元宇宙：数字化旅游（三）——完结篇,https://www.woshipm.com/?p=5633110
75,微果酱,抖音全力做图文，意欲何为？,https://www.woshipm.com/?p=5617280
76,Eric_d,B端产品经理（三）：如何做好项目POC,https://www.woshipm.com/?p=5750306
77,产品人卫朋,华为销售体系 | 销售管理：LTC流程体系详解,https://www.woshipm.com/?p=5695738
78,PM维他命,手把手教学 | B端产品经理简历撰写指南（含专业话术+多套虚拟简历模板）,https://www.woshipm.com/?p=5233033
79,简写2019,什么是TGI指数？,https://www.woshipm.com/?p=5684175
80,白高粱,视频号：半封闭状态下的关系链产品,https://www.woshipm.com/?p=4183603
81,吴火火,都2022年了，还不知道什么是私域吗？,https://www.woshipm.com/?p=5296866
82,空白女侠,麦肯锡、高盛分析师必备：如何快速分析一个行业,https://www.woshipm.com/?p=5518563
83,PM老潘,【2万字】完整产品经理面试50题及回答实例（上）,https://www.woshipm.com/?p=5297149
84,TOP君,读懂eCPM值，收藏这一篇文章就够了！,https://www.woshipm.com/?p=5260553
85,Ella,超全面！大厂UI设计规范详解！,https://www.woshipm.com/?p=5280210
86,Hiphop村,画了多年的流程图，你真的画规范了吗？,https://www.woshipm.com/?p=2329530
87,汪仔7120,闲鱼竞品分析,https://www.woshipm.com/?p=4812192
88,A林深不见鹿,5000字干货：抖音短视频运营整体策划方案，看完你就学会了,https://www.woshipm.com/?p=4264080
89,厚厚,一文说清楚3种结构图（功能结构图、信息结构图、产品结构图）,https://www.woshipm.com/?p=5159192
90,袁玲玲,运营必看：9个维度拆解视频号爆款运营方案、增长策略、数据分析、流量变现全攻略（上）,https://www.woshipm.com/?p=4409870
91,孟大伟,抖音如何引流私域流量的11种方法，最后两条一定要看,https://www.woshipm.com/?p=4817935
92,数据分析星球,数据分析思维：一文读懂漏斗分析,https://www.woshipm.com/?p=4617880
93,产品小悟,用户操作手册,https://www.woshipm.com/?p=4821091
94,Morketing,透析9个营销案例“爆火”的4大共性丨Morketing 2021年中盘点②,https://www.woshipm.com/?p=4898575
95,大圣,一文读懂“人本主义心理学中洞察人性”的马斯洛需求层级理论,https://www.woshipm.com/?p=4439304
96,袁玲玲,运营必看：9个维度拆解视频号爆款运营方案、增长策略、数据分析、流量变现全攻略（下）,https://www.woshipm.com/?p=4432247
97,阿赵,一文读懂H5：值得收藏的干货合集,https://www.woshipm.com/?p=4191958
98,刘昌林,从0到1深度解析：什么叫KOL运营？,https://www.woshipm.com/?p=2137423
99,子修,既然大家都在聊ToB，那到底什么是ToB？,https://www.woshipm.com/?p=3907048
100,PM大叔,竞品分析报告：飞书 VS 钉钉 VS 企业微信，移动办公哪家强？,https://www.woshipm.com/?p=3821740
