index,hot,title,href
1,BBS使用求助,BBS聊天记录能删除吗？,https://bbs.pku.edu.cn/v2/post-read.php?bid=16&threadid=18819301
2,BBS使用求助,ssh登录如何修改界面大小（字符数）,https://bbs.pku.edu.cn/v2/post-read.php?bid=16&threadid=18818135
3,站长的工作室,站内信删除后会逐渐格式化 ，那 “消息”呢？,https://bbs.pku.edu.cn/v2/post-read.php?bid=1&threadid=18819129
4,信息科学技术学院,北京冬天骑自行车通勤会冻死吗？,https://bbs.pku.edu.cn/v2/post-read.php?bid=1107&threadid=18819347
5,燕园食宿,请问保卫部一分钟内学生预约入校名额就没有是否合理,https://bbs.pku.edu.cn/v2/post-read.php?bid=1431&threadid=18819185
6,国际关系学院,哈马斯领导人伊斯梅尔·哈尼亚在伊朗首都遭袭身亡,https://bbs.pku.edu.cn/v2/post-read.php?bid=155&threadid=18818915
7,医学部,关于医学部要求临床学院毕业年级搬宿舍,https://bbs.pku.edu.cn/v2/post-read.php?bid=138&threadid=18818923
8,清华大学,支持隔壁马翔宇,https://bbs.pku.edu.cn/v2/post-read.php?bid=104&threadid=18819135
9,南开大学,南开人来了,https://bbs.pku.edu.cn/v2/post-read.php?bid=109&threadid=18818901
10,清华大学,关于苏州马翔宇观点之一,https://bbs.pku.edu.cn/v2/post-read.php?bid=104&threadid=18819470
11,皇城根儿,周四mor,https://bbs.pku.edu.cn/v2/post-read.php?bid=468&threadid=18819261
12,医学与健康,yw能治好吗？,https://bbs.pku.edu.cn/v2/post-read.php?bid=244&threadid=18808544
13,谈股论金,燕园陈刀仔短线实盘更新,https://bbs.pku.edu.cn/v2/post-read.php?bid=249&threadid=18812272
14,医学与健康,女士怀孕后，可以一直住院吗？,https://bbs.pku.edu.cn/v2/post-read.php?bid=244&threadid=18819355
15,谈股论金,新建：清北股票交流群,https://bbs.pku.edu.cn/v2/post-read.php?bid=249&threadid=18777879
16,网络资源,【PT】馒头（已发18个，PTT，Dajiao，杜比等,https://bbs.pku.edu.cn/v2/post-read.php?bid=209&threadid=18679030
17,笔记本电脑,求助：电脑一开游戏就闪退,https://bbs.pku.edu.cn/v2/post-read.php?bid=484&threadid=18817444
18,程序设计,2024天池云原生编程挑战赛,https://bbs.pku.edu.cn/v2/post-read.php?bid=1360&threadid=18799081
19,笔记本电脑,请教Thinkpad购买,https://bbs.pku.edu.cn/v2/post-read.php?bid=484&threadid=18818713
20,道释儒/智慧之花,不要怨社会、怨朋友，要严格检讨自己，找出原因,https://bbs.pku.edu.cn/v2/post-read.php?bid=10&threadid=18818500
21,道释儒/智慧之花,西藏没有“活佛”这一说,https://bbs.pku.edu.cn/v2/post-read.php?bid=10&threadid=18819415
22,ID文化,寻站友yinyizhe现在的id和联系方式,https://bbs.pku.edu.cn/v2/post-read.php?bid=338&threadid=18817353
23,铁路,校内还有取火车票报销凭证的不？,https://bbs.pku.edu.cn/v2/post-read.php?bid=647&threadid=18818851
24,动漫天地,7月番质量出乎意料地高啊,https://bbs.pku.edu.cn/v2/post-read.php?bid=108&threadid=18813462
25,旅游,周末京郊自驾游求搭子,https://bbs.pku.edu.cn/v2/post-read.php?bid=94&threadid=18819383
26,美食天地,免费送几个美团圈圈的达人邀请码,https://bbs.pku.edu.cn/v2/post-read.php?bid=90&threadid=18819036
27,宠物乐园,求助：大猫不吃东西引发黄疸，病因不明,https://bbs.pku.edu.cn/v2/post-read.php?bid=151&threadid=18815500
28,未名湖,为什么bbs的活跃度远不如树洞,https://bbs.pku.edu.cn/v2/post-read.php?bid=103&threadid=18818991
29,鹊桥,替美女好友征一征（写的贼真诚用心~大家轻点拍）,https://bbs.pku.edu.cn/v2/post-read.php?bid=167&threadid=18807750
30,男孩子,（历史图书馆）陈丹青谈论艺术与LGBTQ,https://bbs.pku.edu.cn/v2/post-read.php?bid=52&threadid=18819308
31,男孩子,欢送小道长回﹉国,https://bbs.pku.edu.cn/v2/post-read.php?bid=52&threadid=18819302
32,找工作啦,入职选调还是舔回笛子,https://bbs.pku.edu.cn/v2/post-read.php?bid=99&threadid=18818943
33,跳蚤市场,【出】华硕h610主板,https://bbs.pku.edu.cn/v2/post-read.php?bid=71&threadid=18819376
34,兼职信息,帮亲戚阿姨找照顾独居老人的工作,https://bbs.pku.edu.cn/v2/post-read.php?bid=419&threadid=18819303
35,找工作啦,秋招应届生请教职业规划~,https://bbs.pku.edu.cn/v2/post-read.php?bid=99&threadid=18819413
36,巴黎奥运会2024,大头爆冷,https://bbs.pku.edu.cn/v2/post-read.php?bid=900&threadid=18819049
37,巴黎奥运会2024,郑钦文2-0斯维泰克，勇闯网球女单决赛,https://bbs.pku.edu.cn/v2/post-read.php?bid=900&threadid=18819422
38,健美健身,出健身房6个月不到的卡，500,https://bbs.pku.edu.cn/v2/post-read.php?bid=219&threadid=18819031
