index,hot,title,href
1,,BUPT猫舍——小程序，记录校园内存在过的每一只流浪猫,https://bbs.byr.cn/article/Talking/6402156
2,,【携王道代友征靠谱男士】91年优质妹子,https://bbs.byr.cn/article/Friends/2045945
3,,立水桥南附近两居出租（房东直租）,https://bbs.byr.cn/article/Home/136697
4,,AI论文—免费千字大纲、10分钟3万字,https://bbs.byr.cn/article/Entrepreneurship/30290
5,,【转】超神准！星座小王子独创的新型占卜、來一起試玩一下！,https://bbs.byr.cn/article/Constellations/326533
6,,【offer比较】一年社招 boss直聘 vs 美团,https://bbs.byr.cn/article/WorkLife/1205331
7,,电子设计大赛大一萌新求带(有偿),https://bbs.byr.cn/article/CPP/102881
8,,电子设计大赛大一萌新求带!(有偿),https://bbs.byr.cn/article/Communications/29601
9,,大半夜看破防了,https://bbs.byr.cn/article/Picture/3351561
10,,北邮计算机专硕能参加北京国网提前批吗？,https://bbs.byr.cn/article/Job/2196844
