index,hot,title,href
1,,单身的兄弟姐妹，如果我建这样一个群，你们会想加入吗？,https://bbs.byr.cn/article/Friends/2054534
2,,本科VS硕士就业疑问,https://bbs.byr.cn/article/Talking/6420909
3,,群英荟萃？扑街严重！2024年四月番完结吐槽,https://bbs.byr.cn/article/Comic/633856
4,,运营商卡年龄吗？,https://bbs.byr.cn/article/WorkLife/1216698
5,,外国人来中国就业,https://bbs.byr.cn/article/GoAbroad/398003
6,,多吃两块肉被发公告骂？,https://bbs.byr.cn/article/Picture/3365003
7,,老登出没,https://bbs.byr.cn/article/NorthEast/945670
8,,拍闪电,https://bbs.byr.cn/article/Photo/278742
9,,求问联通数科发展与待遇！！！,https://bbs.byr.cn/article/Job/2214052
10,,沙雕图 2024.7.1,https://bbs.byr.cn/article/Joke/731426
