index,hot,title,href
1,1.2万,Raspberry Robin回归：新恶意软件活动通过WSF文件传播,https://www.anquanke.com/post/id/295529
2,1.1万,CISA 将自动恶意软件分析系统扩展到政府机构之外,https://www.anquanke.com/post/id/295526
3,1.1万,“eXotic Visit”间谍软件活动针对印度和巴基斯坦的Android用户,https://www.anquanke.com/post/id/295522
4,1.1万,针对印度消费电子制造商 boAt的攻击导致 750 万客户数据泄露,https://www.anquanke.com/post/id/295521
5,1.1万,TA547 使用 LLM 生成的恶意软件来感染德国组织,https://www.anquanke.com/post/id/295518
6,1.1万,土耳其地下在线赌场暴露 85 万用户信息,https://www.anquanke.com/post/id/295515
7,1.1万,德克萨斯州沃斯县机构遭到美杜莎勒索软件团伙袭击,https://www.anquanke.com/post/id/295512
8,1.1万,Google Cloud 携手 GenAI 打造网络安全“双子座”,https://www.anquanke.com/post/id/295506
9,1.1万,研究人员首次发现针对 Linux 内核的 Native Spectre v2 漏洞攻击,https://www.anquanke.com/post/id/295500
10,9294,纽约大都会癫痫基金会遭受勒索软件攻击,https://www.anquanke.com/post/id/295503
11,8050,英特尔发布新AI硬件挑战英伟达,https://www.anquanke.com/post/id/295499
12,9126,令人惊艳的音乐创作人工智能：前谷歌研究人员推出 Udio,https://www.anquanke.com/post/id/295496
13,9207,IntelBroker再次出击：雅高数据库泄露，暴露64.2万人,https://www.anquanke.com/post/id/295493
14,8573,Cypago公司宣布为人工智能安全和治理提供新的自动化支持,https://www.anquanke.com/post/id/295490
15,2.2万,利用防御性人工智能保护组织免受数据损坏,https://www.anquanke.com/post/id/295482
16,2.3万,Microsoft 修补了两个经常被利用的零日漏洞（CVE-2024-29988、CVE-2024-26234）,https://www.anquanke.com/post/id/295480
17,2.0万,Arm首席执行官表示，人工智能“永不满足”的能源需求是不可持续的,https://www.anquanke.com/post/id/295471
18,2.2万,攻击者使用混淆工具通过发票网络钓鱼传播多阶段恶意软件,https://www.anquanke.com/post/id/295475
19,1.9万,美国海军部长德尔托罗称机器人专家是“真正混合动力”战队的下一步,https://www.anquanke.com/post/id/295472
20,1.9万,黑客使用恶意软件驱动的扫描攻击来查明漏洞,https://www.anquanke.com/post/id/295466
