index,hot,title,href
1,5.2万,刚棺材开盘冲进去玩杠杆，结果jump了,http://club.kdslife.com/t_11354677.html
2,5.5万,刚刚全抛了,http://club.kdslife.com/t_11354485.html
3,4.3万,今天A股大跌是不是………,http://club.kdslife.com/t_11354832.html
4,5.2万,行情结束了，今天这跟大绿棒,http://club.kdslife.com/t_11354593.html
5,4.3万,艹，散户吃不到货啊！,http://club.kdslife.com/t_11354466.html
6,1.1万,已经在找原因了,http://club.kdslife.com/t_11354957.html
7,4.2万,太惨了，从开盘到现在7%跌掉了。,http://club.kdslife.com/t_11354589.html
8,1.3万,节前喊踏空的还喊吗,http://club.kdslife.com/t_11354970.html
9,2.6万,神经病真多,http://club.kdslife.com/t_11354576.html
10,2.1万,A50崩盘了,http://club.kdslife.com/t_11354802.html
11,3.4万,今天开盘高位接盘的惨了。,http://club.kdslife.com/t_11354581.html
12,3.2万,所谓的“5000亿”,http://club.kdslife.com/t_11354601.html
13,4.5万,刚才那波暴跌怎么回事，吓死我了,http://club.kdslife.com/t_11354515.html
14,2.1万,颜值还可以伐？,http://club.kdslife.com/t_11354697.html
15,1.0万,儿子拍的广告进恒隆了 哈哈,http://club.kdslife.com/t_11354985.html
16,2.8万,四选一，谁的YM最多,http://club.kdslife.com/t_11354604.html
17,3.1万,疯狂减持,http://club.kdslife.com/t_11354605.html
18,1.8万,股票真的太疯狂了,http://club.kdslife.com/t_11354680.html
19,1.6万,今年一头牛亏5000,http://club.kdslife.com/t_11354694.html
20,2.2万,侧壁  50个刚投进去,http://club.kdslife.com/t_11354477.html
