index,hot,title,href
1,6797.9万,今天，中国共产党成立103周年纪念日，重温这番振奋人心的话语。初心不改，接续奋斗！,https://www.iesdouyin.com/share/video/7386499155209817363/?region=CN&mid=7386499022594296639&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
2,4748.4万,✌????#尝试一切遇见更好 #黑马计划,https://www.iesdouyin.com/share/video/7386232811176348982/?region=CN&mid=7386232579936045878&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
3,3859.5万,（原创采访）巩义一火箭意外起飞升空，随后坠毁起火，当地应急局：暂未接报人员伤亡,https://www.iesdouyin.com/share/video/7386247106832469248/?region=CN&mid=7386246599883852580&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
4,3707.1万,#随手拍,https://www.iesdouyin.com/share/video/7386232700660747554/?region=CN&mid=7191860283911097125&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
5,3706.3万,重温1997年7月1日0时0分0秒，那一刻的激动人心！#香港回归27周年 祝福香港，明天会更好！,https://www.iesdouyin.com/share/video/7386320269553569065/?region=CN&mid=7386319705377704715&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
6,3698.5万,#天赐的声音  音乐合伙人们倾情合唱《紫荆花盛开》，共同庆贺7月1日香港回归祖国27周年，祝愿祖国繁荣昌盛、国泰民安。 #紫荆花盛开,https://www.iesdouyin.com/share/video/7386499716948708671/?region=CN&mid=7386499695209646886&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
7,3474.4万,小时候的我们真快乐呀#金毛 #比熊,https://www.iesdouyin.com/share/video/7386305297092054322/?region=CN&mid=7263261546359311163&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
8,3454.8万,#珍珠鸟 #鸟宝宝 晚饭,https://www.iesdouyin.com/share/video/7385961241396727081/?region=CN&mid=7385961026073774889&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
9,3418.7万,#男人带娃系列 #90后带娃 #这个哄娃的方式好特别 #爸爸带娃 @瑞瑞一家人！之妈妈????,https://www.iesdouyin.com/share/video/7386173962893462818/?region=CN&mid=7386173819138018102&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
10,3362.3万,看眼神就知道这是一只有心机的狗子 #抖音动物图鉴,https://www.iesdouyin.com/share/video/7386585352091225356/?region=CN&mid=7386585325520423699&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
11,3278.6万,中国羽毛球队17岁小将张志杰比赛时突然晕厥，抢救无效去世。外交部：深表惋惜和哀悼。,https://www.iesdouyin.com/share/video/7386599876089466121/?region=CN&mid=7386599813153966885&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1
