index,hot,title,href
1,2.2万,2023失业与重生：裸辞的670天，40岁的前端真的很难再找工作。,https://juejin.im/post/7318379549720723475
2,1.4万,2023 前端年度技术总结,https://juejin.im/post/7318561797451939881
3,2.0万,降本增笑，领导要求程序员半年做出一个金蝶,https://juejin.im/post/7317704464999235593
4,1.6万,Vue 3.4 发布,https://juejin.im/post/7317809451187208218
5,1.2万,狼叔的2023总结,https://juejin.im/post/7317872507322433573
6,1.3万,2024为什么前端都应该掌握Nextjs 或 Nuxtjs,https://juejin.im/post/7318083979021041691
7,9897,裸辞四个月，前端仔靠着Nest绝境收下offer,https://juejin.im/post/7319330542100561932
8,7844,JS实用小方法-将时间转换为 `刚刚`、`几秒前`、`几分钟前`、`几小时前`、`几天前`、几月前或按照传入格式显示,https://juejin.im/post/7317704519160266779
9,7791,程序员真的需要双显示器吗？,https://juejin.im/post/7319541571279798310
10,8625,Vue 组件 v-model 等价展开、computed 和 watch 三种写法谁更优雅？,https://juejin.im/post/7318446209064337435
11,7603,互联网大厂，开始对领导层动刀了,https://juejin.im/post/7317859658285318170
12,6321,大环境越不好 人就越玄学,https://juejin.im/post/7317704462436139058
13,6506,TinyEngine 服务端正式开源啦！！！,https://juejin.im/post/7317827078116081691
14,4804,"2023我的仲裁之旅, 谨以此献给需要仲裁的朋友",https://juejin.im/post/7318446251631493171
15,6212,拿开源套壳就是自主研发？事情没那么简单,https://juejin.im/post/7319181255757185061
16,5922,为什么ChatGPT采用SSE协议而不是Websocket？,https://juejin.im/post/7317704464999120905
17,5659,还在用Jenkins？快来试试这款比Jenkins简而轻的自动部署软件！,https://juejin.im/post/7317544309464875044
18,6454,抖音为何要不断提升画质体验？,https://juejin.im/post/7317463700414545920
19,4561,2023年底被裁，分享一下面试经历,https://juejin.im/post/7318446300591030281
20,4946,国产阿里的Copilot能提效30%吗？,https://juejin.im/post/7317820788546961427
