index,hot,title,href
1,"20,630",佬牛足彩：曼联主胜作胆 霍芬海姆作客坐和望赢,https://sports.sina.com.cn/l/2023-10-07/doc-imzqfyzr1781930.shtml
2,"14,101",男子1号之差失双色球4.5亿巨奖:4年前中过2等,https://sports.sina.com.cn/l/2023-10-07/doc-imzqenym7917053.shtml
3,"12,585",门兴2-2绝平美因茨 足彩头奖仅2注奖金443万,https://sports.sina.com.cn/l/2023-10-07/doc-imzqfqmw0582643.shtml
4,"11,862",[新浪彩票]足彩第23128期任九：奥格斯堡坐和望赢,https://sports.sina.com.cn/l/2023-10-07/doc-imzqenym7927835.shtml
5,"11,042",[新浪彩票]足彩第23128期大势：曼联主场防平,https://sports.sina.com.cn/l/2023-10-07/doc-imzqenym7927589.shtml
6,"10,011",[新浪彩票]足彩23128期冷热指数:水晶宫至少不败,https://sports.sina.com.cn/l/2023-10-07/doc-imzqexpz7045421.shtml
7,"9,573",梅西观战儿子迈阿密青训队比赛 身披10号子承父业,https://sports.sina.com.cn/global/others/2023-10-07/doc-imzqfutr6565975.shtml
8,"8,688",[新浪彩票]足彩第23128期盈亏指数：切尔西客战防平,https://sports.sina.com.cn/l/2023-10-07/doc-imzqenyk1151109.shtml
9,"8,131",[新浪彩票]足彩第23128期投注策略：富勒姆主胜可期,https://sports.sina.com.cn/l/2023-10-07/doc-imzqethc7150556.shtml
10,"7,794",足彩分析软件23128期推荐：尤文保不败国米可作胆,https://sports.sina.com.cn/l/2023-10-07/doc-imzqfutr6558540.shtml
