index,hot,title,href
1,"27,833",欧洲杯-罗德里鲁伊斯破门 西班牙4-1格鲁吉亚,https://sports.sina.com.cn/g/pl/2024-07-01/doc-incaqres3313784.shtml
2,"23,158",欧洲杯-贝林厄姆绝平凯恩破门 英格兰2-1进八强,https://sports.sina.com.cn/g/pl/2024-07-01/doc-incaqres3310298.shtml
3,"10,763",赔率前瞻：C罗欲打破进球荒 葡萄牙复仇晋级,https://sports.sina.com.cn/l/2024-07-01/doc-incaqret8788590.shtml
4,"9,074",赔率前瞻:法国比利时狭路相逢 90分钟难分胜负,https://sports.sina.com.cn/l/2024-07-01/doc-incaqret8788360.shtml
5,"7,467",足彩彩果：英格兰绝平斯洛伐克 西班牙4-1格鲁吉,https://sports.sina.com.cn/l/2024-06-30/doc-incaptza3735723.shtml
6,"6,888",竞彩大势：比利时无惧法国 葡萄牙大胜可期,https://sports.sina.com.cn/l/2024-07-01/doc-incaqres3296038.shtml
7,"6,871",英格兰队史射手榜：凯恩65球第一 鲁尼53球第二,https://sports.sina.com.cn/global/europe/2024-07-01/doc-incaqvnr8712740.shtml
8,"6,084",西班牙第六次晋级欧洲杯8强 与葡萄牙并列第一,https://sports.sina.com.cn/global/europe/2024-07-01/doc-incaqvnq3225095.shtml
9,"5,686",绝平助英格兰晋级 贝林厄姆或成历史最年轻MVP,https://sports.sina.com.cn/l/2024-07-01/doc-incaqzun3135278.shtml
10,"4,954",本届欧洲杯过人次数排名 多库13次过人独居榜首,https://sports.sina.com.cn/global/europe/2024-07-01/doc-incaqvnq3209143.shtml
