index,hot,title,href
1,,任天堂“绝育”联机网络50天后，他们在服务器里坚守到现在,https://www.yystv.cn/p/11785
2,,“未成年人游戏退费标准”发布，建议监护人与游戏公司“按错担责”,https://www.yystv.cn/p/11784
3,,「养臭水」重新风靡校园，原来不管哪一代人都干过这事,https://www.yystv.cn/p/11783
4,,电影导演和小岛的“商业互吹”，激怒了“躺枪”的开发者,https://www.yystv.cn/p/11781
5,,【白夜谈】三十年前，世嘉也曾做过 “塞尔达传说”,https://www.yystv.cn/p/11779
6,,生育率低迷的当下，他们做了一个“养娃”游戏来治愈当代年轻人,https://www.yystv.cn/p/11780
7,,任天堂时隔20年重制的游戏，卡了“政治正确”的Bug,https://www.yystv.cn/p/11778
8,,【白夜谈】放过猫meme吧,https://www.yystv.cn/p/11777
9,,玩家借AI创作的“发癫歌”，却能比游戏本身更火,https://www.yystv.cn/p/11776
10,,《迷宫饭》里长着狗头的“狗头人”，却让欧美观众怀疑人生,https://www.yystv.cn/p/11775
11,,这群中国玩家，把《植物大战僵尸》玩成了一门学问,https://www.yystv.cn/p/11774
12,,风波之中，《对马岛之魂》成了赢家,https://www.yystv.cn/p/11773
