index,hot,title,href
1,,将在2024年实现的3项恐怖的AI突破,http://jandan.net/p/115239
2,,肉类摄入量与预期寿命正相关,http://jandan.net/p/115270
3,,加勒比海盗是如何劫持美国的公制的,http://jandan.net/p/115253
4,,发霉啦：今天，我去拔智齿,http://jandan.net/p/115263
5,,新研究确定了控制雄性交配行为的脑回路,http://jandan.net/p/115259
6,,饺子的全球史,http://jandan.net/p/115249
7,,先做有氧运动还是力量训练？,http://jandan.net/p/115238
8,,利用基本数学公式中彩票头奖14次的人,http://jandan.net/p/115245
9,,解码无性恋：自我发现之旅,http://jandan.net/p/115248
10,,“智能”胰岛素来了：注射一次，血糖控制长达一周,http://jandan.net/p/115244
11,,拖延症与完美主义有关,http://jandan.net/p/115258
12,,今日好价 0102,http://jandan.net/p/115252
13,,今日好价 0104,http://jandan.net/p/115272
14,,今日好价 0103,http://jandan.net/p/115261
15,,电气化水泥可以将房屋和道路变成超大电池,http://jandan.net/p/115256
16,,今日好价 0101,http://jandan.net/p/115241
17,,图集：韦伯太空望远镜发现的宇宙奇迹,http://jandan.net/p/115243
18,,抗衰老新发现：节食与药物的奥秘,http://jandan.net/p/115257
19,,超级智能AI会偷袭我们吗？,http://jandan.net/p/115235
20,,AI会有意识吗？我们迫切需要答案,http://jandan.net/p/115255
21,,从《光环》到《辛普森一家》，虚构的疯狂科学家会通过伦理审查吗？,http://jandan.net/p/115234
22,,神秘的羊肚菌引发食物中毒事件,http://jandan.net/p/115246
23,,新研究揭示：小麦哲伦云实为两个独立小星系,http://jandan.net/p/115269
24,,文学创作的生计困境：作家经济现状,http://jandan.net/p/115266
25,,早期宇宙之谜：从无到有的黑洞,http://jandan.net/p/115236
26,,模型揭示：接近地球的一些小行星可能被地球引力撕裂,http://jandan.net/p/115237
27,,穿透森林的次声波：大象的低频通讯,http://jandan.net/p/115267
28,,人工智能与量子计算融合会给科学带来革命性的变化吗？,http://jandan.net/p/115264
29,,绘制人类免疫多样性图谱,http://jandan.net/p/115265
30,,药物能预防毒蛇咬伤的死亡吗？,http://jandan.net/p/115268
