index,hot,title,href
1,Pwn,vctf apple 复现(apple的通用模板),https://bbs.kanxue.com/thread-281793.htm
2,软件逆向,[原创] 记录一次鹅厂反作弊绕过之利用回调完成异常派遣的提前接收,https://bbs.kanxue.com/thread-281768.htm
3,Pwn,[原创]钉子户的迁徙之路（四）,https://bbs.kanxue.com/thread-281766.htm
4,Android安全,[原创]Frida 过检测通用思路之一,https://bbs.kanxue.com/thread-281761.htm
5,编程技术,[原创][eBPF源码分析]Socket_filter类型调用链埋点分析,https://bbs.kanxue.com/thread-281726.htm
6,Android安全,[原创] 一种简单实用的ollvm反混淆的方案与源码,https://bbs.kanxue.com/thread-281709.htm
7,编程技术,[原创]windbg原生调试协议在hyper-v平台uefi上多种实现方式探索,https://bbs.kanxue.com/thread-281707.htm
8,Android安全,[原创]unidbg入门笔记,https://bbs.kanxue.com/thread-281703.htm
9,软件逆向,[原创]白加黑dll劫持恶意样本分析（含样本详细逻辑）,https://bbs.kanxue.com/thread-281702.htm
10,二进制漏洞,[原创]chrome v8漏洞CVE-2021-37975浅析,https://bbs.kanxue.com/thread-281657.htm
11,Android安全,[分享]某某某加固系统分析,https://bbs.kanxue.com/thread-281656.htm
12,Pwn,钉子户的迁徙之路（二）,https://bbs.kanxue.com/thread-281650.htm
13,Pwn,[原创] BFS Ekoparty 2022 Linux Kernel Exploitation Challenge,https://bbs.kanxue.com/thread-281639.htm
14,Pwn,[原创]钉子户的迁徙之路（一）,https://bbs.kanxue.com/thread-281631.htm
15,编程技术,[原创]Windows主机入侵检测与防御内核技术深入解析（5）,https://bbs.kanxue.com/thread-281630.htm
16,编程技术,[原创]句柄降权绕过CallBacks检查,https://bbs.kanxue.com/thread-281625.htm
17,编程技术,[原创]通过修改物理内存实现跨进程内存读写,https://bbs.kanxue.com/thread-281624.htm
18,Android安全,攻防世界-mobile-easy-app详解,https://bbs.kanxue.com/thread-281603.htm
19,CTF对抗,[原创]VM逆向，一篇就够了（下）,https://bbs.kanxue.com/thread-281599.htm
20,二进制漏洞,[原创]ATF-FUZZ,https://bbs.kanxue.com/thread-281593.htm
21,二进制漏洞,[原创]CVE-2017-11882分析和白象样本分析,https://bbs.kanxue.com/thread-281592.htm
22,Android安全,绕过最新版bilibili app反frida机制,https://bbs.kanxue.com/thread-281584.htm
23,Pwn,蒸米ROP level 2 - 在不获取目标libc.so的情况下进行ROP攻击,https://bbs.kanxue.com/thread-281583.htm
24,软件逆向,[原创]x64环境下利用IDA+Windbg+VmWare实现对Nt!KiSystemStartup 的调试,https://bbs.kanxue.com/thread-281571.htm
25,软件逆向,[原创] 怎么让 IDA 的 F5 支持一种新指令集？,https://bbs.kanxue.com/thread-281568.htm
26,编程技术,[原创]请注意python指针的浅拷贝,https://bbs.kanxue.com/thread-281564.htm
27,CTF对抗,[原创] XYCTF两道Unity IL2CPP题的出题思路与题解,https://bbs.kanxue.com/thread-281560.htm
28,软件逆向,[原创] 浅谈反rootkit技术,https://bbs.kanxue.com/thread-281558.htm
29,iOS安全,[原创]小白逆向之路，ios抓包绕过SSL证书认证,https://bbs.kanxue.com/thread-281551.htm
