index,hot,title,href
1,88.3万,当一位清华本硕博放弃“北京中产”，去往非洲,https://www.huxiu.com/article/2143738.html
2,66.9万,包高铁抢大学生：强二线城市，困在人才焦虑中,https://www.huxiu.com/article/2141766.html
3,50.5万,日本年轻人，开始信“中医”,https://www.huxiu.com/article/2113858.html
4,44.5万,打工人的八天假，比上班还累,https://www.huxiu.com/article/2140758.html
5,37.6万,从北京到武汉，一辆“电动爹”的国庆囧途,https://www.huxiu.com/article/2143752.html
6,26.5万,去安徽吃了一次黄山烧饼，离开后像在戒毒,https://www.huxiu.com/article/2112578.html
7,24.3万,对话王笛：凡事都依赖国家，就会形成一个巨婴型社会,https://www.huxiu.com/article/2141934.html
8,23.7万,印尼首都，正在下沉,https://www.huxiu.com/article/2141098.html
9,21.6万,随迁子女教育融合，珠三角为什么比长三角做得好？,https://www.huxiu.com/article/2139984.html
10,20.0万,人生发财靠康波，知道我们在哪儿很重要,https://www.huxiu.com/article/2142273.html
11,15.5万,2023 年诺贝尔文学奖给了赔率第二名，第一名是中国作家,https://www.huxiu.com/article/2138973.html
12,14.7万,对高铁上嚎叫的小孩，我的降噪耳机为什么没用？,https://www.huxiu.com/article/2142255.html
13,14.0万,小概率思维：高手的生存之道,https://www.huxiu.com/article/2141145.html
14,13.7万,人为哄抬的国际石油价格，还能维持多久？,https://www.huxiu.com/article/2138640.html
15,46.6万,游客为何宁愿在酒店点外卖，也不给“烟火气”捧场？,https://www.huxiu.com/article/2137287.html
