index,hot,title,href
1,50.2万,动动脑子，行吗？,https://www.huxiu.com/article/2155954.html
2,30.9万,中学生表演“刺杀安倍”，仇恨教育让人担忧,https://www.huxiu.com/article/2160664.html
3,28.2万,与广州一样，深圳将有5个市中心,https://www.huxiu.com/article/2165248.html
4,27.0万,全球最健康饮食出炉，能降低20%早死概率,https://www.huxiu.com/article/2159821.html
5,90.9万,砸碎“铁饭碗”，加速了,https://www.huxiu.com/article/2162913.html
6,25.4万,抛弃手机的年轻人，不想再交“线上税”,https://www.huxiu.com/article/2166951.html
7,81.0万,哈马斯要面对的是：AI+核武,https://www.huxiu.com/article/2162432.html
8,21.0万,假扮外卖骑手，现在成了一种脏生意,https://www.huxiu.com/article/2162742.html
9,20.2万,金融男，为何又渣又上头,https://www.huxiu.com/article/2167535.html
10,19.0万,山寨“餐饮首店”，在县城狂飙,https://www.huxiu.com/article/2167933.html
11,17.0万,万物皆周期，我们在哪儿？,https://www.huxiu.com/article/2166603.html
12,13.9万,人人都爱用的优惠券，背后逻辑竟然这么复杂？,https://www.huxiu.com/article/2166600.html
13,13.6万,直面“被讨厌的勇气”,https://www.huxiu.com/article/2162964.html
14,13.5万,关系质量高的伴侣，这件事上最平等,https://www.huxiu.com/article/2165207.html
15,12.7万,不想做饭的打工人，盯上了酒店的自助餐年卡,https://www.huxiu.com/article/2168842.html
